dose_bins,coverage
0,100
0,100
0,99.5
0,99
0,98.5
0,98
0,97.5
0,97
0,96.5
0,96
0,95.5
0,95
0,94.5
0,94
0,93.5
0,93
0,92.5
0,92
0,91.5
0,91
0,90.5
0,90
0,89.5
0,89
0,88.5
0,88
0,87.5
0,87
0,86.5
0,86
0,85.5
0,85
0,84.5
0,84
0,83.5
0,83
0,82.5
0,82
0,81.5
0,81
0,80.5
0,80
0,79.5
0,79
0,78.5
0,78
0,77.5
0,77
0,76.5
0,76
0,75.5
0,75
0,74.5
0,74
0,73.5
0,73
0,72.5
0,72
0,71.5
0,71
0,70.5
0,70
0,69.5
0,69
0,68.5
0,68
0,67.5
0,67
0.00028,66.5
0.00075,66
0.00123,65.5
0.0017,65
0.00217,64.5
0.00264,64
0.00311,63.5
0.00358,63
0.00406,62.5
0.00453,62
0.005,61.5
0.00547,61
0.00594,60.5
0.00641,60
0.00688,59.5
0.00736,59
0.00783,58.5
0.0083,58
0.00877,57.5
0.00924,57
0.00971,56.5
0.01019,56
0.01066,55.5
0.01113,55
0.0116,54.5
0.01207,54
0.01254,53.5
0.01302,53
0.01349,52.5
0.01396,52
0.01443,51.5
0.0149,51
0.01537,50.5
0.01585,50
0.01632,49.5
0.01679,49
0.01726,48.5
0.01773,48
0.0182,47.5
0.01868,47
0.01915,46.5
0.01962,46
0.02009,45.5
0.02056,45
0.02103,44.5
0.0215,44
0.02198,43.5
0.02245,43
0.02292,42.5
0.02339,42
0.02386,41.5
0.02433,41
0.02481,40.5
0.02528,40
0.02575,39.5
0.02622,39
0.02669,38.5
0.02716,38
0.02764,37.5
0.02811,37
0.02858,36.5
0.02905,36
0.02952,35.5
0.02999,35
0.03047,34.5
0.03094,34
0.03141,33.5
0.03188,33
0.03235,32.5
0.03282,32
0.0333,31.5
0.03757,31
0.04249,30.5
0.04742,30
0.05234,29.5
0.05727,29
0.06219,28.5
0.06741,28
0.0761,27.5
0.08479,27
0.09348,26.5
0.10317,26
0.11603,25.5
0.12888,25
0.14399,24.5
0.16035,24
0.16682,23.802
0.17932,23.5
0.20001,23
0.22441,22.5
0.25261,22
0.28646,21.5
0.32747,21
0.33364,20.929
0.37864,20.5
0.45003,20
0.50046,19.728
0.5528,19.5
0.66729,19.07
0.69255,19
0.83411,18.673
0.899,18.5
1.00093,18.314
1.16775,18.118
1.27579,18
1.33457,17.929
1.50139,17.722
1.66822,17.579
1.7991,17.5
1.83504,17.482
2.00186,17.361
2.16868,17.232
2.3355,17.103
2.46498,17
2.50232,16.969
2.66914,16.862
2.83597,16.781
3.00279,16.708
3.16961,16.659
3.33643,16.567
3.49217,16.5
3.50325,16.493
3.67007,16.402
3.83689,16.274
4.00372,16.188
4.17054,16.107
4.33736,16.009
4.35505,16
4.50418,15.906
4.671,15.785
4.83782,15.708
5.00465,15.606
5.17147,15.53
5.22985,15.5
5.33829,15.456
5.50511,15.379
5.67193,15.293
5.83875,15.17
6.00557,15.057
6.08971,15
6.1724,14.938
6.33922,14.82
6.50604,14.702
6.67286,14.605
6.83462,14.5
6.83968,14.496
7.0065,14.385
7.17332,14.325
7.34015,14.213
7.50697,14.106
7.67379,14.018
7.70055,14
7.84061,13.916
8.00743,13.83
8.17425,13.733
8.34108,13.637
8.5079,13.523
8.551,13.5
8.67472,13.421
8.84154,13.316
9.00836,13.198
9.17518,13.086
9.30357,13
9.342,12.976
9.50883,12.868
9.67565,12.776
9.84247,12.657
10.00929,12.546
10.0666,12.5
10.17611,12.397
10.34293,12.308
10.50976,12.196
10.67658,12.052
10.71692,12
10.8434,11.887
11.01022,11.767
11.17704,11.597
11.29613,11.5
11.34386,11.458
11.51068,11.307
11.67751,11.164
11.84433,11.018
11.86572,11
12.01115,10.894
12.17797,10.752
12.34479,10.625
12.51161,10.52
12.55145,10.5
12.67843,10.418
12.84526,10.28
13.01208,10.148
13.1789,10.045
13.21843,10
13.34572,9.923
13.51254,9.801
13.67936,9.674
13.84619,9.536
13.88945,9.5
14.01301,9.423
14.17983,9.328
14.34665,9.23
14.51347,9.12
14.66854,9
14.68029,8.989
14.84711,8.84
15.01394,8.728
15.18076,8.598
15.34565,8.5
15.34758,8.499
15.5144,8.392
15.68122,8.265
15.84804,8.135
16.01486,8.024
16.04419,8
16.18169,7.899
16.34851,7.811
16.51533,7.725
16.68215,7.659
16.84897,7.596
17.01579,7.52
17.05263,7.5
17.18262,7.43
17.34944,7.335
17.51626,7.221
17.68308,7.093
17.79702,7
17.8499,6.966
18.01672,6.836
18.18354,6.702
18.35037,6.607
18.50303,6.5
18.51719,6.485
18.68401,6.337
18.85083,6.177
19.01765,6.054
19.07468,6
19.18447,5.92
19.3513,5.787
19.51812,5.687
19.68494,5.576
19.76456,5.5
19.85176,5.409
20.01858,5.299
20.1854,5.169
20.35222,5.022
20.38227,5
20.51905,4.888
20.68587,4.749
20.85269,4.58
20.9396,4.5
21.01951,4.439
21.18633,4.316
21.35315,4.215
21.51997,4.106
21.67764,4
21.6868,3.993
21.85362,3.886
22.02044,3.797
22.18726,3.694
22.35408,3.578
22.4938,3.5
22.5209,3.477
22.68773,3.376
22.85455,3.282
23.02137,3.143
23.18819,3.052
23.28702,3
23.35501,2.963
23.52183,2.843
23.68865,2.722
23.85548,2.643
24.0223,2.538
24.06922,2.5
24.18912,2.414
24.35594,2.301
24.52276,2.215
24.68958,2.129
24.8564,2.041
24.93838,2
25.02323,1.939
25.19005,1.842
25.35687,1.781
25.52369,1.669
25.69051,1.582
25.83309,1.5
25.85733,1.481
26.02416,1.393
26.19098,1.307
26.3578,1.241
26.52462,1.154
26.69144,1.062
26.83194,1
26.85826,0.983
27.02508,0.909
27.19191,0.827
27.35873,0.735
27.52555,0.629
27.69237,0.552
27.82642,0.5
27.85919,0.49
28.02601,0.434
28.19283,0.386
28.35966,0.343
28.52648,0.302
28.6933,0.275
28.86012,0.242
29.02694,0.224
