dose_bins,coverage
0,100
0.00023904,100
0.00023904,99.4999995
0.00023904,98.9999998
0.00023904,98.5
0.00023904,98.0000003
0.00023904,97.4999995
0.0003126,96.9999998
0.00052406,96.5
0.00073552,96.0000003
0.00094239,95.4999995
0.00115385,94.9999998
0.00136531,94.5
0.00160379,94.0000003
0.00211864,93.4999996
0.0026435,92.9999998
0.00316827,92.5000001
0.00368773,92.0000003
0.00421259,91.4999996
0.00472736,90.9999998
0.00525222,90.5000001
0.00577708,90.0000003
0.00629655,89.4999996
0.00682131,88.9999998
0.00733617,88.5000001
0.00786104,88.0000003
0.0083859,87.4999996
0.00890526,86.9999999
0.00942553,86.5000001
0.00992201,86.0000004
0.01041919,85.4999996
0.01092106,84.9999999
0.01141294,84.5000001
0.01191482,84.0000004
0.0124066,83.4999996
0.01290848,82.9999999
0.01340496,82.5000001
0.01390214,82.0000004
0.01440402,81.4999996
0.0148959,80.9999999
0.01539777,80.5000001
0.01588956,80.0000004
0.01639143,79.4999997
0.01689331,78.9999999
0.01738509,78.5000002
0.01788697,78.0000004
0.01838425,77.4999997
0.01889693,76.9999999
0.01940491,76.5000002
0.01991759,76.0000004
0.02042567,75.4999997
0.02093834,74.9999999
0.02145562,74.5000002
0.02206473,74.0000004
0.02267854,73.4999997
0.02329236,73
0.02390157,72.5000002
0.02451538,72.0000005
0.0251291,71.4999997
0.02573831,71
0.02635212,70.5000002
0.02696593,70.0000005
0.02757515,69.4999997
0.02818886,69
0.02880267,68.5000002
0.02941729,68.0000005
0.0300311,67.4999997
0.03064031,67
0.03128621,66.5000003
0.03195978,65.9999995
0.03263795,65.4999998
0.03331152,65
0.033985,64.5000003
0.03465857,63.9999995
0.03533674,63.4999998
0.03601031,63
0.03668389,62.5000003
0.03735736,61.9999995
0.03821923,61.4999998
0.0391576,61
0.04009047,60.5000003
0.0410977,59.9999996
0.04212332,59.4999998
0.04315353,59.0000001
0.04418385,58.5000003
0.04520406,57.9999996
0.04623428,57.4999998
0.04725989,57.0000001
0.04829021,56.5000003
0.04932042,55.9999996
0.05030926,55.5206864
0.05092954,55.2298508
0.05200582,54.7298511
0.05311418,54.2298503
0.05422714,53.7298506
0.0554274,53.2298509
0.05683756,52.7298511
0.05824853,52.2298504
0.05965869,51.7298506
0.06106965,51.2298509
0.06247981,50.7298511
0.06397801,50.2298504
0.06547552,49.7298506
0.06697382,49.2298509
0.06847133,48.7298511
0.06997423,48.2298504
0.07147173,47.7298506
0.07323394,47.2298509
0.07512999,46.7298511
0.07707202,46.2298504
0.07901485,45.7298507
0.08095678,45.2298509
0.08289881,44.7298512
0.08484084,44.2298504
0.08683333,43.7298507
0.08841019,43.3357489
0.08986285,43.0000002
0.092271,42.5000004
0.09467446,41.9999997
0.0971064,41.4999999
0.09966626,41.0000002
0.10222601,40.5000004
0.10479046,39.9999997
0.10771772,39.5
0.10985852,39.1953733
0.11282139,38.7298512
0.1160241,38.2298505
0.11921682,37.7298507
0.12284174,37.229851
0.12676506,36.7298512
0.13070218,36.2298505
0.13463939,35.7298507
0.13907065,35.229851
0.14368758,34.7298512
0.14829921,34.2298505
0.15330657,33.7298507
0.15868018,33.229851
0.16404829,32.7298503
0.16707561,32.4221975
0.17240213,31.9999998
0.17748428,31.6852597
0.18423011,31.229851
0.19165843,30.7298503
0.19961857,30.2298505
0.20796589,29.7298508
0.21789474,29.229851
0.22858521,28.7298503
0.23841249,28.2795585
0.24310398,27.9999998
0.25319384,27.6232
0.26490096,27.229851
0.27939921,26.7298503
0.29460864,26.2298506
0.30710699,25.8011698
0.31497543,25.5000001
0.3332075,25.0000003
0.3486505,24.7224951
0.37012357,24.2298506
0.37772673,23.9670418
0.39806636,23.5000001
0.42278191,23.0000003
0.44112466,22.7320716
0.45046335,22.4999996
0.47857039,21.9999998
0.50963074,21.5000001
0.51464593,21.400812
0.54175873,21.0000003
0.57807977,20.4999996
0.58816649,20.3118151
0.61853604,19.9999999
0.65281551,19.5637551
0.67073155,19.3280718
0.7063131,19.0000004
0.72774276,18.6912656
0.75872211,18.3768
0.79322763,18.0540299
0.81758967,17.7715283
0.8571642,17.5
0.87667855,17.2523194
0.91892013,16.9361015
0.94598814,16.6820806
0.98817769,16.3933493
1.01719721,16.1475015
1.05746775,15.867606
1.09025337,15.6437194
1.13029201,15.3928896
1.16837175,15.1464209
1.20396927,14.9223104
1.24663633,14.6383164
1.28109434,14.4733374
1.3233748,14.1997851
1.36409314,14
1.39690066,13.7973194
1.45501459,13.5000001
1.47041662,13.4166597
1.54394248,13.0825731
1.56205313,13
1.61745844,12.7673731
1.6800919,12.513791
1.69323603,12.4632597
1.76450486,12.1473761
1.79362442,12.009194
1.8397446,11.8346686
1.89270648,11.6438865
1.93393874,11.463006
1.99356243,11.2579463
2.0152727,11.1691702
2.08097516,10.9399374
2.13594781,10.7298507
2.15449643,10.6609732
2.22801699,10.4393851
2.28176795,10.2670866
2.30964279,10.168797
2.37505881,9.9608657
2.41506457,9.83282386
2.47096673,9.62276121
2.52756648,9.46834623
2.54716169,9.40315824
2.61801315,9.19310452
2.68153351,8.99188058
2.70321093,8.92944478
2.76505497,8.73323288
2.81257174,8.58979706
2.8609684,8.44682986
2.93448886,8.22878506
2.94686196,8.18955223
3.00800482,7.98660301
3.07365858,7.79298512
3.10392274,7.71120894
3.16977548,7.50531049
3.2056314,7.40055523
3.25096456,7.26966865
3.32448052,7.03357614
3.35451238,6.96031637
3.41764862,6.77514324
3.46340624,6.64327762
3.4939144,6.56677616
3.56743486,6.37783578
3.63428893,6.20809549
3.66334829,6.14651344
3.72303633,6.03092839
3.78799715,5.89917309
3.83430371,5.79543882
3.88391057,5.68614026
3.95742643,5.54144777
4.030626,5.43583585
4.06595829,5.37864475
4.10447285,5.31425672
4.17798881,5.2030806
4.25151467,5.07283881
4.32503523,4.96943586
4.3754264,4.89013734
4.40381088,4.8499284
4.47207706,4.75971939
4.54559832,4.67521199
4.61911888,4.57101791
4.69263934,4.44942092
4.7466397,4.38140296
4.76767771,4.35154926
4.83968116,4.26605671
4.91320252,4.17021786
4.98672298,4.06869257
5.06024354,3.98217613
5.12225388,3.89585371
5.1566897,3.8455463
5.20728536,3.7586328
5.28080663,3.65261488
5.35412951,3.54389556
5.40545559,3.50299406
5.47898155,3.40394333
5.55249741,3.29373139
5.62602337,3.17454333
5.65041895,3.14925372
5.69954383,3.04297614
5.77305979,2.93123876
5.83520804,2.83997907
5.89771415,2.74893729
5.97123541,2.6263134
6.03977281,2.50747162
6.09588977,2.45365673
6.16941033,2.32387757
6.2429262,2.2022298
6.25522151,2.18955228
6.31645216,2.0883791
6.38996802,1.98565076
6.46307565,1.89108363
6.51462238,1.86268953
6.58814294,1.77431642
6.6616642,1.69482981
6.73518476,1.59904478
6.79451504,1.55101199
6.85983452,1.48742984
6.93335498,1.37709555
7.00688094,1.29171342
7.06535997,1.24822094
7.1087949,1.19859104
7.15392276,1.12612833
7.22744322,1.0479881
7.30095909,0.98018805
7.35640958,0.94651049
7.42561345,0.85223284
7.49913481,0.74278503
7.56717103,0.67775825
7.62378917,0.64345969
7.69730963,0.55542384
7.77082559,0.51346273
7.84435145,0.48400298
7.91786741,0.45370443
7.99139327,0.42497017
8.06491383,0.40788955
8.1384297,0.38305974
8.21195566,0.37219703
8.28547152,0.35849551
8.35899748,0.34360891
8.43251794,0.3336657
8.5060339,0.3298836
8.57955976,0.3239403
8.65308032,0.3077313
8.72660158,0.3044895
8.75482894,0.3009493
8.8225096,0.29046569
8.89603006,0.27836119
8.96955602,0.26503877
9.04307189,0.25377317
9.11659785,0.24345076
9.19011371,0.22718506
9.26363967,0.22394326
9.33716013,0.22124176
9.41067609,0.21205676
9.48420195,0.20719406
9.55771791,0.20071046
9.63124377,0.19376715
9.70476433,0.18574325
9.7782802,0.17925965
9.85180616,0.16707465
9.92532661,0.15805074
9.99884798,0.15048654
10.0723684,0.14524474
10.1458844,0.13578503
10.2194103,0.13470453
10.2929308,0.13416423
10.3664521,0.12714033
10.4399726,0.12335823
10.5134885,0.11803583
10.5870145,0.11209253
10.6605349,0.10344773
10.7340563,0.09804483
10.8075768,0.09372243
10.8810981,0.08399703
10.9546186,0.08091642
11.028139,0.07883582
11.1016604,0.07343282
11.1751809,0.07081192
11.2487068,0.06773132
11.3222227,0.06481191
11.3957432,0.06157011
11.4692645,0.05778801
11.5427851,0.05508661
11.6163109,0.05184481
11.6898269,0.04752241
11.7633473,0.04211941
11.8368687,0.04049851
11.9103892,0.03995821
11.9839151,0.03509551
12.057431,0.03293431
12.1309515,0.03031341
12.2044728,0.02715221
12.2779934,0.0230716
12.3515192,0.021991
12.4250352,0.018209
12.4985557,0.018209
12.5720816,0.0176687
12.6455975,0.0171284
12.7191234,0.0160478
12.7926393,0.0160478
12.8661653,0.0122657
12.9396857,0.0095642
13.0132017,0.0079433
13.0867275,0.0068627
13.1602435,0.0057821
13.2337694,0.0052418
13.3072899,0.0052418
13.3808058,0.0047015
9.3569112,0.0032418
9.4080396,0.0027015
9.4591735,0.0016209
9.5103019,0.0016209
9.5614304,0.0016209
9.6125642,0.0010806
9.6636927,0.0005403
