dose_bins,coverage
0,100
0,100
0,99.5
0,99
0,98.5
0,98
0,97.5
0,97
0,96.5
0,96
0,95.5
0,95
0,94.5
0,94
0,93.5
0,93
0,92.5
0,92
0,91.5
0,91
0,90.5
0,90
0,89.5
0,89
0,88.5
0,88
0,87.5
0,87
0,86.5
0,86
0.00001,85.5
0.00002,85
0.00003,84.5
0.00004,84
0.00006,83.5
0.00007,83
0.00008,82.5
0.00009,82
0.0001,81.5
0.00011,81
0.00013,80.5
0.00014,80
0.00015,79.5
0.00016,79
0.00017,78.5
0.00018,78
0.0002,77.5
0.00021,77
0.00022,76.5
0.00023,76
0.00024,75.5
0.00025,75
0.00026,74.5
0.00028,74
0.00029,73.5
0.0003,73
0.00031,72.5
0.00032,72
0.00035,71.5
0.00038,71
0.0004,70.5
0.00043,70
0.00046,69.5
0.00049,69
0.00052,68.5
0.00055,68
0.00058,67.5
0.0006,67
0.00063,66.5
0.00066,66
0.00067,65.5
0.00069,65
0.00071,64.5
0.00073,64
0.00074,63.5
0.00076,63
0.00078,62.5
0.00079,62
0.00081,61.5
0.00083,61
0.00085,60.5
0.00086,60
0.00088,59.5
0.0009,59
0.00092,58.5
0.00093,58
0.00095,57.5
0.00097,57
0.001,56.5
0.00104,56
0.00109,55.5
0.00113,55
0.00117,54.5
0.00122,54
0.00126,53.5
0.0013,53
0.00136,52.5
0.00142,52
0.00148,51.5
0.00153,51
0.00159,50.5
0.00163,50.2
0.00164,50
0.00167,49.5
0.0017,49
0.00174,48.5
0.00177,48
0.0018,47.5
0.00184,47
0.00187,46.5
0.0019,46
0.00193,45.5
0.00199,45
0.00206,44.5
0.00214,44
0.00222,43.5
0.0023,43
0.00239,42.5
0.00249,42
0.00259,41.5
0.00269,41
0.00279,40.5
0.00289,40
0.003,39.5
0.00311,39
0.00323,38.5
0.00325,38.418
0.00331,38
0.00337,37.5
0.00343,37
0.0035,36.5
0.00356,36
0.00368,35.5
0.00382,35
0.00396,34.5
0.00412,34
0.00426,33.5
0.00434,33
0.00443,32.5
0.00451,32
0.00466,31.5
0.00485,31
0.00488,30.913
0.00505,30.5
0.00526,30
0.00547,29.5
0.0057,29
0.0059,28.5
0.00602,28
0.00615,27.5
0.00639,27
0.0065,26.788
0.00668,26.5
0.0069,26
0.00705,25.5
0.00725,25
0.00757,24.5
0.00792,24
0.00813,23.69
0.00827,23.5
0.00855,23
0.00875,22.5
0.0091,22
0.00949,21.5
0.00972,21
0.00976,20.914
0.01015,20.5
0.01068,20
0.01115,19.5
0.01138,19.071
0.01146,19
0.01204,18.5
0.01236,18
0.01301,17.533
0.01306,17.5
0.01372,17
0.01417,16.5
0.01464,16.204
0.0148,16
0.01547,15.5
0.01626,15.068
0.01633,15
0.01702,14.5
0.01767,14
0.01789,13.899
0.01871,13.5
0.01948,13
0.01951,12.983
0.02056,12.5
0.02114,12.188
0.02157,12
0.02275,11.5
0.02277,11.495
0.02394,11
0.02439,10.746
0.02516,10.5
0.02602,10.135
0.02652,10
0.02765,9.629
0.02814,9.5
0.02927,9.137
0.02957,9
0.0309,8.679
0.03133,8.5
0.03252,8.177
0.03346,8
0.03415,7.777
0.03522,7.5
0.03578,7.407
0.0374,7.016
0.03751,7
0.03903,6.702
0.03998,6.5
0.04066,6.391
0.04228,6.117
0.04276,6
0.04391,5.857
0.04553,5.573
0.04622,5.5
0.04716,5.355
0.04879,5.143
0.04974,5
0.05041,4.9
0.05204,4.697
0.05355,4.5
0.05367,4.488
0.05529,4.308
0.05692,4.12
0.05787,4
0.05854,3.907
0.06017,3.75
0.0618,3.574
0.0624,3.5
0.06342,3.421
0.06505,3.256
0.06668,3.13
0.06812,3
0.0683,2.988
0.06993,2.864
0.07155,2.753
0.07318,2.618
0.07481,2.516
0.07512,2.5
0.07643,2.416
0.07806,2.302
0.07969,2.205
0.08131,2.112
0.08294,2.032
0.08341,2
0.08456,1.953
0.08619,1.862
0.08782,1.786
0.08944,1.712
0.09107,1.626
0.0927,1.553
0.09379,1.5
0.09432,1.482
0.09595,1.42
0.09757,1.362
0.0992,1.299
0.10083,1.24
0.10245,1.185
0.10408,1.138
0.1057,1.078
0.10733,1.03
0.10846,1
0.10896,0.988
0.11058,0.95
0.11221,0.914
0.11384,0.872
0.11546,0.834
0.11709,0.799
0.11871,0.762
0.12034,0.728
0.12197,0.694
0.12359,0.667
0.12522,0.64
0.12685,0.605
0.12847,0.584
0.1301,0.564
0.13172,0.542
0.13335,0.522
0.13498,0.501
0.13505,0.5
0.1366,0.483
0.13823,0.467
0.13986,0.447
0.14148,0.434
0.14311,0.419
0.14473,0.403
0.14636,0.387
0.14799,0.378
0.14961,0.363
0.15124,0.349
0.15287,0.337
0.15449,0.323
0.15612,0.317
0.15774,0.307
0.15937,0.294
0.161,0.284
0.16262,0.27
0.16425,0.262
0.16588,0.251
0.1675,0.236
0.16913,0.227
0.17075,0.215
0.17238,0.203
0.17401,0.195
0.17563,0.189
0.17726,0.183
0.17889,0.175
0.18051,0.168
0.18214,0.161
0.18376,0.158
0.18539,0.15
0.18702,0.141
0.18864,0.136
0.19027,0.133
0.1919,0.126
0.19352,0.12
0.19515,0.116
0.19677,0.111
0.1984,0.105
0.20003,0.102
0.20165,0.099
0.20328,0.092
0.2049,0.085
0.20653,0.077
0.20816,0.074
0.20978,0.07
0.21141,0.068
0.21304,0.063
0.21466,0.058
0.21629,0.055
0.21791,0.054
0.21954,0.051
0.22117,0.049
0.22279,0.045
0.22442,0.044
0.22605,0.042
0.22767,0.038
0.2293,0.037
0.23092,0.033
0.23255,0.031
0.23418,0.03
0.2358,0.029
0.23743,0.026
0.23906,0.025
0.24068,0.025
0.24231,0.024
0.24393,0.024
0.24556,0.023
0.24719,0.02
0.24881,0.018
0.25044,0.018
0.25207,0.017
0.25369,0.014
0.25532,0.013
0.25694,0.011
0.25857,0.01
0.2602,0.009
0.26182,0.008
