dose_bins,coverage
0,100
0.17079,100
0.34159,100
0.51238,100
0.68317,100
0.85397,100
1.02476,100
1.19555,100
1.36635,100
1.53714,100
1.70793,100
1.87873,100
2.04952,100
2.22031,100
2.39111,100
2.5619,100
2.73269,100
2.90349,100
3.07428,100
3.24507,100
3.41587,100
3.58666,100
3.75745,100
3.92825,100
4.09904,100
4.26983,100
4.44062,100
4.61142,100
4.78221,100
4.953,100
5.1238,100
5.29459,100
5.46538,100
5.63618,100
5.80697,100
5.97776,100
6.14856,100
6.31935,100
6.49014,100
6.66094,100
6.83173,100
7.00252,100
7.17332,100
7.34411,100
7.5149,100
7.6857,100
7.85649,100
8.02728,100
8.19808,100
8.36887,100
8.53966,100
8.71046,100
8.88125,100
9.05204,100
9.22284,100
9.39363,100
9.56442,100
9.73522,100
9.90601,100
10.0768,100
10.2476,100
10.41839,100
10.58918,100
10.75998,100
10.93077,100
11.10156,100
11.27236,100
11.44315,100
11.61394,100
11.78474,100
11.95553,100
12.12632,100
12.29711,100
12.46791,100
12.6387,100
12.80949,100
12.98029,100
13.15108,100
13.32187,100
13.49267,100
13.66346,100
13.83425,100
14.00505,100
14.17584,100
14.34663,100
14.51743,100
14.68822,100
14.85901,100
15.02981,100
15.2006,100
15.37139,100
15.54219,100
15.71298,100
15.88377,100
16.05457,100
16.22536,100
16.39615,100
16.56695,100
16.73774,100
16.90853,100
17.07933,100
17.25012,100
17.42091,100
17.59171,100
17.7625,100
17.93329,100
18.10409,100
18.27488,100
18.44567,100
18.61647,100
18.78726,100
18.95805,100
19.12885,100
19.29964,100
19.43918,100
19.47043,100
19.64123,100
19.81202,100
19.98281,100
20.1536,100
20.3244,100
20.49519,100
20.66598,100
20.83678,100
21.00757,100
21.17836,100
21.34916,100
21.51995,99.997
21.69074,99.996
21.86154,99.996
22.03233,99.996
22.20312,99.996
22.37392,99.996
22.54471,99.996
22.7155,99.996
22.8863,99.996
23.05709,99.996
23.22788,99.996
23.39868,99.993
23.56947,99.993
23.74026,99.988
23.91106,99.987
24.08185,99.987
24.25264,99.983
24.42344,99.983
24.59423,99.983
24.76502,99.98
24.93582,99.98
25.10661,99.977
25.2774,99.977
25.4482,99.966
25.61899,99.951
25.78978,99.943
25.96058,99.943
26.13137,99.94
26.30216,99.932
26.47296,99.932
26.64375,99.931
26.81454,99.93
26.98534,99.922
27.15613,99.911
27.32692,99.903
27.49772,99.894
27.66851,99.876
27.8393,99.852
28.01009,99.826
28.18089,99.805
28.35168,99.772
28.52247,99.748
28.69327,99.723
28.86406,99.659
29.03485,99.632
29.20565,99.578
29.37644,99.513
29.43418,99.5
29.54723,99.443
29.71803,99.398
29.88882,99.323
30.05961,99.239
30.23041,99.149
30.4012,99.035
30.455,99
30.57199,98.914
30.74279,98.774
30.91358,98.591
30.98482,98.5
31.08437,98.372
31.25517,98.106
31.29252,98
31.42596,97.604
31.45104,97.5
31.59675,97.107
31.63369,97
31.76319,96.5
31.76755,96.485
31.86521,96
31.93834,95.573
31.95186,95.5
32.03608,95
32.09534,94.5
32.10913,94.392
32.15155,94
32.1943,93.5
32.23872,93
32.2796,92.5
32.27993,92.496
32.31501,92
32.34322,91.5
32.3752,91
32.40445,90.5
32.42607,90
32.44665,89.5
32.45072,89.4
32.46341,89
32.47816,88.5
32.49299,88
32.50635,87.5
32.51808,87
32.52911,86.5
32.53987,86
32.55044,85.5
32.56035,85
32.56987,84.5
32.57909,84
32.58833,83.5
32.59757,83
32.60585,82.5
32.6139,82
32.62099,81.5
32.62151,81.463
32.62807,81
32.63509,80.5
32.64211,80
32.64895,79.5
32.65577,79
32.66193,78.5
32.66789,78
32.67369,77.5
32.67914,77
32.6846,76.5
32.6901,76
32.69564,75.5
32.70118,75
32.70656,74.5
32.71193,74
32.71725,73.5
32.72236,73
32.72748,72.5
32.73242,72
32.73703,71.5
32.74164,71
32.74618,70.5
32.75033,70
32.75448,69.5
32.75864,69
32.76271,68.5
32.76673,68
32.77076,67.5
32.77478,67
32.7789,66.5
32.78302,66
32.78714,65.5
32.79128,65
32.79231,64.877
32.79546,64.5
32.79963,64
32.80381,63.5
32.80791,63
32.81199,62.5
32.81607,62
32.82015,61.5
32.82424,61
32.82833,60.5
32.83242,60
32.83631,59.5
32.8401,59
32.84389,58.5
32.84768,58
32.85131,57.5
32.85488,57
32.85846,56.5
32.86203,56
32.86553,55.5
32.86899,55
32.87245,54.5
32.8759,54
32.87943,53.5
32.88307,53
32.8867,52.5
32.89034,52
32.89398,51.5
32.89763,51
32.90128,50.5
32.90493,50
32.90851,49.5
32.91191,49
32.91532,48.5
32.91872,48
32.92212,47.5
32.92558,47
32.92904,46.5
32.93249,46
32.93595,45.5
32.93944,45
32.94295,44.5
32.94646,44
32.94997,43.5
32.95347,43
32.95696,42.5
32.96045,42
32.9631,41.621
32.96394,41.5
32.96745,41
32.97097,40.5
32.9745,40
32.97802,39.5
32.98154,39
32.98503,38.5
32.98852,38
32.992,37.5
32.99549,37
32.99893,36.5
33.00236,36
33.00579,35.5
33.00922,35
33.0127,34.5
33.01623,34
33.01975,33.5
33.02328,33
33.0269,32.5
33.03064,32
33.03438,31.5
33.03812,31
33.04183,30.5
33.0455,30
33.04916,29.5
33.05283,29
33.05659,28.5
33.06044,28
33.06429,27.5
33.06814,27
33.07226,26.5
33.07651,26
33.08077,25.5
33.08504,25
33.08939,24.5
33.09374,24
33.09808,23.5
33.10258,23
33.1071,22.5
33.11163,22
33.11613,21.5
33.12062,21
33.12511,20.5
33.12965,20
33.13389,19.547
33.13433,19.5
33.13901,19
33.14379,18.5
33.14915,18
33.1545,17.5
33.15999,17
33.16567,16.5
33.17135,16
33.17733,15.5
33.18337,15
33.18954,14.5
33.1959,14
33.20226,13.5
33.20861,13
33.21496,12.5
33.22214,12
33.22959,11.5
33.2376,11
33.24577,10.5
33.25446,10
33.26341,9.5
33.27299,9
33.28281,8.5
33.29258,8
33.30196,7.5
33.30469,7.355
33.31177,7
33.3224,6.5
33.33552,6
33.35261,5.5
33.36931,5
33.38569,4.5
33.40659,4
33.42846,3.5
33.45345,3
33.47548,2.648
33.4855,2.5
33.52965,2
33.57605,1.5
33.63324,1
33.64627,0.916
33.7355,0.5
33.81707,0.284
33.98786,0.06
34.15865,0.005
34.15865,0
