dose_bins,coverage
0,100
0,100
0,99.5
0,99
0,98.5
0,98
0,97.5
0,97
0,96.5
0,96
0,95.5
0,95
0,94.5
0,94
0,93.5
0,93
0,92.5
0,92
0,91.5
0,91
0,90.5
0,90
0,89.5
0,89
0,88.5
0,88
0,87.5
0,87
0,86.5
0,86
0,85.5
0,85
0,84.5
0,84
0,83.5
0,83
0,82.5
0,82
0,81.5
0,81
0,80.5
0,80
0,79.5
0,79
0,78.5
0,78
0,77.5
0,77
0,76.5
0,76
0,75.5
0,75
0,74.5
0,74
0,73.5
0,73
0,72.5
0,72
0,71.5
0,71
0,70.5
0,70
0,69.5
0,69
0,68.5
0,68
0,67.5
0,67
0,66.5
0,66
0,65.5
0,65
0,64.5
0,64
0,63.5
0,63
0,62.5
0,62
0,61.5
0,61
0,60.5
0,60
0,59.5
0,59
0,58.5
0,58
0,57.5
0,57
0,56.5
0,56
0,55.5
0,55
0,54.5
0,54
0,53.5
0,53
0,52.5
0,52
0,51.5
0,51
0,50.5
0,50
0,49.5
0,49
0,48.5
0,48
0,47.5
0,47
0.00001,46.5
0.00001,46
0.00001,45.5
0.00001,45
0.00001,44.5
0.00001,44
0.00001,43.5
0.00001,43
0.00001,42.5
0.00001,42
0.00001,41.5
0.00001,41
0.00001,40.5
0.00001,40
0.00001,39.5
0.00001,39
0.00001,38.5
0.00001,38
0.00001,37.5
0.00001,37
0.00001,36.5
0.00001,36
0.00001,35.5
0.00001,35
0.00001,34.5
0.00001,34
0.00001,33.5
0.00001,33
0.00001,32.5
0.00001,32
0.00001,31.5
0.00001,31
0.00001,30.5
0.00001,30
0.00001,29.5
0.00001,29
0.00001,28.5
0.00001,28
0.00001,27.5
0.00001,27
0.00001,26.5
0.00001,26
0.00001,25.5
0.00001,25
0.00001,24.5
0.00001,24
0.00006,23.717
0.00013,23.717
0.00019,23.717
0.00025,23.717
0.00031,23.717
0.00038,23.717
0.00044,23.717
0.0005,23.717
0.00051,23.5
0.00051,23
0.00052,22.5
0.00052,22
0.00052,21.5
0.00052,21
0.00052,20.5
0.00052,20
0.00052,19.5
0.00053,19
0.00053,18.5
0.00053,18
0.00053,17.5
0.00053,17
0.00053,16.5
0.00053,16
0.00053,15.5
0.00054,15
0.00054,14.5
0.00056,14.175
0.00063,14.175
0.00069,14.175
0.00075,14.175
0.00081,14.175
0.00088,14.175
0.00094,14.175
0.001,14.175
0.00103,14
0.00103,13.5
0.00103,13
0.00103,12.5
0.00104,12
0.00104,11.5
0.00104,11
0.00104,10.5
0.00105,10
0.00105,9.5
0.00105,9
0.00106,8.993
0.00113,8.993
0.00119,8.993
0.00125,8.993
0.00131,8.993
0.00138,8.993
0.00144,8.993
0.0015,8.993
0.00155,8.5
0.00156,8
0.00156,7.5
0.00156,7.362
0.00157,7
0.00157,6.5
0.00157,6
0.00163,5.731
0.00169,5.731
0.00175,5.731
0.00181,5.731
0.00188,5.731
0.00194,5.731
0.002,5.731
0.00206,5.731
0.00208,5.5
0.00209,5
0.00209,4.5
0.0021,4
0.00213,3.712
0.00219,3.712
0.00225,3.712
0.00231,3.712
0.00238,3.712
0.00244,3.712
0.0025,3.712
0.00256,3.712
0.00259,3.5
0.0026,3
0.00261,2.5
0.00263,2.467
0.00269,2.467
0.00275,2.467
0.00281,2.467
0.00288,2.467
0.00294,2.467
0.003,2.467
0.00306,2.467
0.00313,2.048
0.00313,2
0.00319,1.629
0.00325,1.629
0.00332,1.629
0.00338,1.629
0.00344,1.629
0.0035,1.629
0.00357,1.629
0.00363,1.629
0.00365,1.5
0.00369,1.068
0.00375,1.068
0.00382,1.068
0.00388,1.068
0.00394,1.068
0.004,1.068
0.00407,1.068
0.00413,1.068
0.00416,1
0.00419,0.706
0.00425,0.706
0.00432,0.706
0.00438,0.706
0.00444,0.706
0.0045,0.706
0.00457,0.706
0.00463,0.706
0.00469,0.581
0.0047,0.5
0.00475,0.457
0.00482,0.457
0.00488,0.457
0.00494,0.457
0.005,0.457
0.00507,0.457
0.00513,0.457
0.00519,0.457
0.00525,0.314
0.00532,0.314
0.00538,0.314
0.00544,0.314
0.0055,0.314
0.00557,0.314
0.00563,0.314
0.00569,0.314
0.00575,0.222
0.00582,0.222
0.00588,0.222
0.00594,0.222
0.006,0.222
0.00607,0.222
0.00613,0.222
0.00619,0.222
0.00625,0.193
0.00632,0.164
0.00638,0.164
0.00644,0.164
0.0065,0.164
0.00657,0.164
0.00663,0.164
0.00669,0.164
0.00676,0.164
0.00682,0.109
0.00688,0.109
0.00694,0.109
0.00701,0.109
0.00707,0.109
0.00713,0.109
0.00719,0.109
0.00726,0.109
0.00732,0.08
0.00738,0.08
0.00744,0.08
0.00751,0.08
0.00757,0.08
0.00763,0.08
0.00769,0.08
0.00776,0.08
0.00782,0.067
0.00788,0.053
0.00794,0.053
0.00801,0.053
0.00807,0.053
0.00813,0.053
0.00819,0.053
0.00826,0.053
0.00832,0.053
0.00838,0.038
0.00844,0.038
0.00851,0.038
0.00857,0.038
0.00863,0.038
0.00869,0.038
0.00876,0.038
0.00882,0.038
0.00888,0.025
0.00894,0.025
0.00901,0.025
0.00907,0.025
0.00913,0.025
0.00919,0.025
0.00926,0.025
0.00932,0.025
0.00938,0.019
0.00944,0.012
0.00951,0.012
0.00957,0.012
0.00963,0.012
0.00969,0.012
0.00976,0.012
0.00982,0.012
0.00988,0.012
0.00995,0.007
0.01001,0.007
0.01007,0.007
0.01013,0.007
0.0102,0.007
0.01026,0.007
0.01032,0.007
0.01038,0.007
0.01045,0.004
0.01051,0.004
0.01057,0.004
0.01063,0.004
0.0107,0.004
0.01076,0.004
0.01082,0.004
0.01088,0.004
0.01095,0.003
0.01101,0.002
0.01107,0.002
0.01113,0.002
0.0112,0.002
0.01126,0.002
0.01132,0.002
0.01138,0.002
0.01145,0.002
0.01151,0.001
0.01157,0.001
0.01163,0.001
0.0117,0.001
