dose_bins,coverage
0,100
0,100
0,99.5
0,99
0,98.5
0,98
0.00001,97.5
0.00003,97
0.00005,96.5
0.00007,96
0.00045,95.57
0.00045,95.5
0.00046,95
0.00048,94.5
0.00049,94
0.0005,93.5
0.00051,93
0.00052,92.5
0.00053,92
0.00054,91.5
0.00055,91
0.00057,90.5
0.00058,90
0.00059,89.5
0.0006,89
0.00061,88.5
0.00062,88
0.0009,87.64
0.00099,87.5
0.00101,87
0.00102,86.5
0.00103,86
0.00104,85.5
0.00105,85
0.00106,84.5
0.00107,84
0.00108,83.5
0.00109,83
0.0011,82.5
0.00111,82
0.00112,81.5
0.00113,81
0.00114,80.5
0.00115,80
0.00116,79.5
0.00117,79
0.00135,78.884
0.00145,78.5
0.00146,78
0.00147,77.5
0.00148,77
0.00149,76.5
0.00151,76
0.00152,75.5
0.00153,75
0.00154,74.5
0.00155,74
0.00156,73.5
0.00157,73
0.00158,72.5
0.00159,72
0.0016,71.5
0.00161,71
0.0018,70.556
0.00199,70.5
0.002,70
0.00201,69.5
0.00202,69
0.00203,68.5
0.00204,68
0.00206,67.5
0.00207,67
0.00208,66.5
0.00209,66
0.0021,65.5
0.00212,65
0.00213,64.5
0.00214,64
0.00215,63.5
0.00216,63
0.00225,62.93
0.00254,62.5
0.00255,62
0.00256,61.5
0.00258,61
0.00259,60.5
0.00261,60
0.00262,59.5
0.00263,59
0.00265,58.5
0.00266,58
0.00267,57.5
0.00269,57
0.0027,56.5
0.00271,56.398
0.00308,56
0.0031,55.5
0.00311,55
0.00313,54.5
0.00314,54
0.00316,53.62
0.00316,53.5
0.00318,53
0.00319,52.5
0.00321,52
0.00322,51.5
0.00324,51
0.00353,50.5
0.00355,50
0.00357,49.5
0.00359,49
0.0036,48.5
0.00361,48.427
0.00362,48
0.00364,47.5
0.00366,47
0.00368,46.5
0.00406,46.012
0.00406,46
0.00408,45.5
0.0041,45
0.00412,44.5
0.00414,44
0.00416,43.5
0.00418,43
0.00421,42.5
0.00423,42
0.00451,41.722
0.00461,41.5
0.00463,41
0.00466,40.5
0.00469,40
0.00471,39.5
0.00474,39
0.00476,38.5
0.00496,38.122
0.00515,38
0.00517,37.5
0.0052,37
0.00523,36.5
0.00526,36
0.00528,35.5
0.00531,35
0.00541,34.817
0.0057,34.5
0.00574,34
0.00577,33.5
0.00581,33
0.00584,32.5
0.00586,32.226
0.00615,32
0.00618,31.5
0.00622,31
0.00626,30.5
0.00629,30
0.00631,29.73
0.00669,29.5
0.00673,29
0.00676,28.638
0.00677,28.5
0.00682,28
0.00721,27.545
0.00722,27.5
0.00726,27
0.00731,26.5
0.00736,26
0.00766,25.598
0.00777,25.5
0.00782,25
0.00787,24.5
0.00792,24
0.00812,23.903
0.00825,23.5
0.00831,23
0.00837,22.5
0.00857,22.342
0.0088,22
0.00887,21.5
0.00902,21.07
0.0093,21
0.00937,20.5
0.00945,20
0.00947,19.875
0.00989,19.5
0.00992,19.292
0.00996,19
0.01037,18.71
0.0104,18.5
0.01049,18
0.01082,17.613
0.01084,17.5
0.01095,17
0.01127,16.732
0.01141,16.5
0.01151,16
0.01172,15.826
0.01198,15.5
0.01217,15.077
0.01246,15
0.01258,14.5
0.01262,14.322
0.01307,14
0.01307,13.997
0.01348,13.5
0.01353,13.299
0.0136,13
0.01398,12.926
0.0141,12.5
0.01443,12.32
0.01461,12
0.01488,11.709
0.01513,11.5
0.01533,11.193
0.01557,11
0.01578,10.655
0.01611,10.5
0.01623,10.204
0.01668,10
0.01668,9.99
0.01713,9.776
0.01726,9.5
0.01758,9.385
0.01803,9.033
0.01814,9
0.01849,8.644
0.01874,8.5
0.01894,8.282
0.01937,8
0.01939,7.972
0.01984,7.827
0.02029,7.527
0.0203,7.5
0.02074,7.371
0.02119,7.121
0.02137,7
0.02164,6.868
0.02209,6.617
0.02244,6.5
0.02254,6.347
0.02299,6.151
0.02344,6.041
0.02348,6
0.0239,5.931
0.02435,5.676
0.0246,5.5
0.0248,5.484
0.02525,5.301
0.0257,5.161
0.02611,5
0.02615,4.955
0.0266,4.868
0.02705,4.78
0.0275,4.612
0.02763,4.5
0.02795,4.448
0.0284,4.258
0.02886,4.114
0.02927,4
0.02931,3.972
0.02976,3.852
0.03021,3.793
0.03066,3.734
0.03111,3.607
0.03132,3.5
0.03156,3.45
0.03201,3.321
0.03246,3.203
0.03291,3.099
0.03336,3.027
0.0334,3
0.03381,2.955
0.03427,2.854
0.03472,2.738
0.03517,2.623
0.03562,2.539
0.03597,2.5
0.03607,2.456
0.03652,2.413
0.03697,2.31
0.03742,2.25
0.03787,2.174
0.03832,2.108
0.03877,2.041
0.03916,2
0.03922,1.977
0.03968,1.913
0.04013,1.886
0.04058,1.858
0.04103,1.77
0.04148,1.697
0.04193,1.615
0.04238,1.551
0.04282,1.5
0.04283,1.498
0.04328,1.47
0.04373,1.441
0.04418,1.397
0.04464,1.328
0.04509,1.272
0.04554,1.226
0.04599,1.164
0.04644,1.1
0.04689,1.063
0.04734,1.026
0.04744,1
0.04779,0.98
0.04824,0.945
0.04869,0.902
0.04914,0.856
0.04959,0.815
0.05005,0.796
0.0505,0.777
0.05095,0.746
0.0514,0.711
0.05185,0.671
0.0523,0.654
0.05275,0.628
0.0532,0.616
0.05365,0.594
0.0541,0.584
0.05455,0.558
0.05501,0.509
0.05525,0.5
0.05546,0.482
0.05591,0.44
0.05636,0.405
0.05681,0.392
0.05726,0.379
0.05771,0.363
0.05816,0.337
0.05861,0.314
0.05906,0.289
0.05951,0.261
0.05996,0.257
0.06042,0.254
0.06087,0.241
0.06132,0.215
0.06177,0.191
0.06222,0.184
0.06267,0.178
0.06312,0.165
0.06357,0.16
0.06402,0.154
0.06447,0.145
0.06492,0.143
0.06537,0.139
0.06583,0.124
0.06628,0.116
0.06673,0.111
0.06718,0.105
0.06763,0.092
0.06808,0.085
0.06853,0.079
0.06898,0.073
