dose_bins,coverage
0,100
0,100
0,99.5
0,99
0,98.5
0,98
0,97.5
0,97
0,96.5
0,96
0,95.5
0,95
0,94.5
0,94
0,93.5
0,93
0,92.5
0,92
0,91.5
0,91
0,90.5
0,90
0,89.5
0,89
0,88.5
0,88
0,87.5
0,87
0,86.5
0,86
0,85.5
0,85
0,84.5
0,84
0,83.5
0,83
0.0001826,82.5
0.00064741,82
0.00111223,81.5
0.00157704,81
0.00204185,80.5
0.00249836,80
0.00296317,79.5
0.00342798,79
0.00389279,78.5
0.0043493,78
0.00481411,77.5
0.00527892,77
0.00574373,76.5
0.00620854,76
0.00666505,75.5
0.00712986,75
0.00759467,74.5
0.00805948,74
0.00852429,73.5
0.00898081,73
0.00944562,72.5
0.00991043,72
0.01037524,71.5
0.01084005,71
0.01129656,70.5
0.01176137,70
0.01222618,69.5
0.01269099,69
0.0131475,68.5
0.01361231,68
0.01407712,67.5
0.01454193,67
0.01500674,66.5
0.01546325,66
0.01592806,65.5
0.01639287,65
0.01685769,64.5
0.0173225,64
0.01778071,63.5
0.01824552,63
0.01871033,62.5
0.01917514,62
0.01963995,61.5
0.02009646,61
0.02056127,60.5
0.02102608,60
0.02149089,59.5
0.0219474,59
0.02241221,58.5
0.02287702,58
0.02334183,57.5
0.02380664,57
0.02426315,56.5
0.02472796,56
0.02572399,55.5
0.02675491,55
0.02777583,54.5
0.02880506,54
0.02982598,53.5
0.0308552,53
0.03187613,52.5
0.03290535,52
0.03392627,51.5
0.0349555,51
0.03597642,50.5
0.03700564,50
0.03802657,49.5
0.03904749,49
0.04007671,48.5
0.04109764,48
0.04212686,47.5
0.04314779,47
0.04417701,46.5
0.04519963,46
0.04622886,45.5
0.04724978,45
0.048279,44.5
0.04929993,44
0.05195599,43.5
0.05502706,43
0.05809813,42.5
0.0611609,42
0.06423197,41.5
0.06729474,41
0.07036581,40.5
0.07343688,40
0.07780278,39.5
0.08265839,39
0.0875223,38.5
0.09237791,38
0.09723352,37.5
0.10267184,37
0.10848087,36.5193778
0.1142967,36.1043684
0.12010063,35.669981
0.12383742,35.3168944
0.12617807,35.0849905
0.13277842,34.5849905
0.13938537,34.0849905
0.14598572,33.5849905
0.15307578,33.0849905
0.16047955,32.5849905
0.16789332,32.0849905
0.1755544,31.5849905
0.18392269,31.0849905
0.19229928,30.5849905
0.20103938,30.1273158
0.21064009,29.7123063
0.22023251,29.2972968
0.23108296,28.8399621
0.24239781,28.3399621
0.24769503,28.0607471
0.25451119,27.7549716
0.26731178,27.2549716
0.28069339,26.7549716
0.2944651,26.2549716
0.30866013,25.7927074
0.32314135,25.3776979
0.33964783,24.9626884
0.35768114,24.5099431
0.37153585,24.1253158
0.37713188,23.9249526
0.39724664,23.4249526
0.41771661,22.9249526
0.43856688,22.4512997
0.46103289,22.0362902
0.48609686,21.6212807
0.49539007,21.4480203
0.51343638,21.0949336
0.54277265,20.5949336
0.57290574,20.0949336
0.60546758,19.6292698
0.61919349,19.4707362
0.6415184,19.2142603
0.6809677,18.7649147
0.72215004,18.2649147
0.74300351,17.9666093
0.7643503,17.707971
0.81072915,17.2929616
0.86683583,16.8904024
0.86893428,16.8499052
0.93306664,16.3499052
0.98588585,15.8499052
0.99063055,15.807605
1.04076109,15.4291164
1.11224802,15.0141069
1.11445267,14.9224454
1.19520202,14.4348957
1.2382423,14.2593929
1.29273874,14.0112172
1.36205932,13.7290108
1.38821171,13.5198862
1.47229983,13.0409639
1.48588464,12.9828626
1.57790113,12.6048768
1.60967106,12.4220595
1.69766307,12.1048768
1.73346578,11.9376182
1.83824477,11.6504317
1.8572794,11.5625458
1.98104523,11.2065022
1.99765901,11.1048768
2.10483165,10.8005837
2.16525443,10.6611405
2.22865017,10.4297428
2.33271645,10.1160955
2.3524434,10.0812347
2.47623812,9.82392885
2.54251063,9.68986729
2.60002284,9.46958368
2.72378867,9.25246057
2.76662334,9.17609883
2.84760569,9.06902638
2.97139021,8.81437013
3.06298471,8.63785309
3.09518684,8.59469211
3.21898156,8.38303727
3.34275269,8.1948474
3.34600656,8.10487677
3.46653211,7.89463245
3.59031853,7.73858888
3.63975186,7.68629769
3.71412686,7.52270489
3.83789968,7.35905954
3.9616944,7.19388576
4.0362275,7.12748425
4.08548933,7.03930527
4.20926195,6.833962
4.33303138,6.68922052
4.44617696,6.59127829
4.4568567,6.5829781
4.58062102,6.40451361
4.70440725,6.25299468
4.82819367,6.1666727
4.9347738,6.07122052
4.95199519,6.00743596
5.07577482,5.84088814
5.19956954,5.74875604
5.32335427,5.58462773
5.41788682,5.50441797
5.44715069,5.42259364
5.57093711,5.34540188
5.69472844,5.23569118
5.81848766,5.13138199
5.94228239,5.02758465
6.05092096,4.95869307
6.06609091,4.92161542
6.18986353,4.81522859
6.31364996,4.75463721
6.43744468,4.68076552
6.561226,4.55773853
6.68499523,4.47659034
6.80160199,4.40769876
6.80881225,4.40354867
6.93259507,4.2793536
7.0563628,4.14112775
7.18015752,4.05729583
7.30394395,3.99421439
7.42772337,3.89057614
7.48873676,3.77545351
7.55152509,3.74723287
7.67531982,3.71486213
7.79908244,3.65701222
7.92287037,3.55501791
8.04665679,3.50272672
8.17045151,3.45624565
8.29421584,3.38277738
8.41800206,3.26178307
8.54178849,3.21447199
8.57151716,3.2020217
8.66558491,3.14921346
8.78936963,3.02366944
8.91316436,2.98050845
9.03695078,2.92323714
9.16071831,2.86999851
9.28450133,2.77158279
9.40829605,2.74336215
9.53208248,2.69038393
9.65585,2.60240382
9.67276639,2.58660457
9.77966192,2.54593365
9.90345665,2.47867702
10.0272431,2.39880013
10.1510378,2.35978924
10.274814,2.31986878
10.3985883,2.22267561
10.5223748,2.19030487
10.6461695,2.16374426
10.7699491,2.10207523
10.89372,2.03815857
11.0175065,1.99665762
11.1235886,1.97424711
11.141325,1.92246255
11.2650876,1.88921302
11.3888823,1.86763253
11.5126688,1.84190194
